ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
11	"Frmpd4"	NA	chrNC_000086.8	-	166254301	166258298	166254301	166258293	166259782	166261072	11	27,35,18	1,4,0	13,19,78	1,0,10	105	100	0.167099069092	0.6518604935575643	0.963,0.893,1.0	0.925,1.0,0.881	0.017
18	"Mospd2"	NA	chrNC_000086.8	-	163719164	163720299	163719164	163720080	163722638	163722741	18	368,366,364	66,57,31	383,407,317	51,54,36	319	100	0.665789862658	1.0	0.636,0.668,0.786	0.702,0.703,0.734	-0.016
19	"Mospd2"	NA	chrNC_000086.8	-	163719164	163721688	163719164	163720080	163722638	163722741	19	2109,2040,2045	66,57,31	2320,2107,1986	51,54,36	1708	100	0.543655226226	1.0	0.652,0.677,0.794	0.727,0.696,0.764	-0.021
20	"Mospd2"	NA	chrNC_000086.8	-	163719164	163721688	163719164	163720299	163722638	163722741	20	1774,1704,1718	33,30,37	1956,1728,1679	19,28,10	1489	100	0.0015901336726	0.047086664163931764	0.783,0.792,0.757	0.874,0.806,0.919	-0.089
21	"Mospd2"	NA	chrNC_000086.8	-	163739474	163739522	163739474	163739513	163741751	163741812	21	4,12,4	201,166,172	10,7,7	207,188,176	109	100	0.662613206349	1.0	0.018,0.062,0.021	0.042,0.033,0.035	-0.003
22	"Mospd2"	NA	chrNC_000086.8	-	163747977	163748157	163747977	163748133	163762989	163763059	22	0,0,0	170,168,161	0,3,6	177,188,149	124	100	0.747119595489	1.0	0.0,0.0,0.0	0.0,0.013,0.031	-0.015
23	"Reps2"	NA	chrNC_000086.8	-	161297274	161297347	161297274	161297344	161301324	161301419	23	43,42,13	10,12,3	28,23,94	0,2,28	103	100	0.216506562051	0.7344299416204407	0.807,0.773,0.808	1.0,0.918,0.765	-0.098
24	"Reps2"	NA	chrNC_000086.8	-	161335538	161335665	161335538	161335662	161337792	161337941	24	7,11,2	41,38,21	9,10,30	42,26,130	103	100	0.340142718728	0.897655803972085	0.142,0.219,0.085	0.172,0.272,0.183	-0.06
26	"Bclaf3"	NA	chrNC_000086.8	+	158340438	158340553	158340441	158340553	158338470	158338646	26	31,30,39	10,14,18	30,31,27	6,17,5	103	100	0.298676592327	0.8528292488792502	0.751,0.675,0.678	0.829,0.639,0.84	-0.068
27	"Map7d2"	NA	chrNC_000086.8	+	158275319	158275407	158275322	158275407	158273675	158273780	27	21,44,11	0,2,1	29,29,141	0,0,0	103	100	0.453621221392	1.0	1.0,0.955,0.914	1.0,1.0,1.0	-0.044
28	"Map7d2"	NA	chrNC_000086.8	+	158275319	158275407	158275322	158275407	158274763	158274820	28	94,108,52	4,10,1	118,81,383	4,2,22	103	100	0.728526854536	1.0	0.958,0.913,0.981	0.966,0.975,0.944	-0.011
30	"Gpr173"	NA	chrNC_000086.8	-	151126593	151130704	151126593	151130568	151150116	151150265	30	48,56,48	16,27,19	76,35,47	42,26,35	236	100	0.0253822098178	0.2375856388050937	0.56,0.468,0.517	0.434,0.363,0.363	0.128
31	"Gpr173"	NA	chrNC_000086.8	-	151126593	151130704	151126593	151130568	151150416	151150506	31	54,64,52	0,12,3	76,42,52	0,3,6	236	100	0.370157151433	0.9258932851054724	1.0,0.693,0.88	1.0,0.856,0.786	-0.023
32	"Smc1a"	NA	chrNC_000086.8	+	150829442	150829801	150829655	150829801	150824322	150824464	32	12,0,0	310,275,283	2,0,3	299,331,293	313	100	1	1.0	0.012,0.0,0.0	0.002,0.0,0.003	0.002
33	"Gm39540"	NA	chrNC_000086.8	+	150796997	150797302	150797000	150797302	150792636	150793425	33	1,1,1	0,2,2	3,3,5	0,0,1	103	100	0.00647441885494	0.11085790651621755	1.0,0.327,0.327	1.0,1.0,0.829	-0.392
34	"Huwe1"	NA	chrNC_000086.8	+	150589267	150589403	150589271	150589403	150584149	150584362	34	0,0,0	1,0,0	2,1,2	0,0,2	104	100	1	1.0	0.0,NA,NA	1.0,1.0,0.49	-0.83
35	"Huwe1"	NA	chrNC_000086.8	+	150586751	150587536	150587441	150587536	150586171	150586565	35	31,35,43	15,13,2	74,36,32	5,7,6	790	100	0.320090327717	0.8778723561576564	0.207,0.254,0.731	0.652,0.394,0.403	-0.086
36	"Huwe1"	NA	chrNC_000086.8	+	150589267	150589403	150589271	150589403	150586171	150586565	36	6,2,4	0,5,7	0,2,3	2,6,4	104	100	0.0869209836142	0.45913980221813516	1.0,0.278,0.355	0.0,0.243,0.419	0.324
37	"Huwe1"	NA	chrNC_000086.8	+	150589267	150589403	150589271	150589403	150586751	150586798	37	4,1,3	0,0,1	0,3,3	1,2,0	104	100	0.31773902107	0.8757176195271722	1.0,1.0,0.743	0.0,0.591,1.0	0.384
38	"Huwe1"	NA	chrNC_000086.8	+	150589267	150589403	150589271	150589403	150586751	150587536	38	12,7,9	6,5,3	8,7,1	14,12,5	104	100	0.00214129527334	0.0559962618493172	0.658,0.574,0.743	0.355,0.359,0.161	0.367
39	"Huwe1"	NA	chrNC_000086.8	+	150677916	150678084	150677922	150678084	150676818	150677014	39	165,153,114	5,13,18	175,130,135	16,14,22	106	100	0.147083187445	0.6098984889605684	0.969,0.917,0.857	0.912,0.898,0.853	0.027
40	"Pfkfb1"	NA	chrNC_000086.8	+	149372791	149373080	149372935	149373080	149371940	149372040	40	0,1,5	0,0,1	4,1,4	0,0,1	244	100	1	1.0	NA,1.0,0.672	1.0,1.0,0.621	-0.038
41	"Pfkfb1"	NA	chrNC_000086.8	+	149372791	149373080	149372948	149373080	149371940	149372040	41	0,1,5	3,1,1	4,1,5	8,2,3	257	100	0.719265266314	1.0	0.0,0.28,0.661	0.163,0.163,0.393	0.074
42	"Pfkfb1"	NA	chrNC_000086.8	+	149372935	149373080	149372948	149373080	149371940	149372040	42	0,0,1	3,1,1	0,0,2	8,2,3	113	100	1	1.0	0.0,0.0,0.469	0.0,0.0,0.371	0.033
48	"Tceal3"	NA	chrNC_000086.8	+	135567808	135567939	135567872	135567939	135494950	135494999	48	81,81,113	2,8,9	130,111,103	14,1,23	164	100	0.217723592379	0.7368181054409667	0.961,0.861,0.884	0.85,0.985,0.732	0.046
49	"Tceal3"	NA	chrNC_000086.8	+	135567808	135567939	135567872	135567939	135567123	135567304	49	196,187,236	1085,979,1044	256,195,207	1050,1072,985	164	100	0.559992233923	1.0	0.099,0.104,0.121	0.129,0.1,0.114	-0.006
50	"Tceal3"	NA	chrNC_000086.8	+	135567808	135567939	135567872	135567939	135567359	135567413	50	79,81,113	5,2,4	131,111,105	9,6,6	164	100	0.19585956282	0.7010003833884678	0.906,0.961,0.945	0.899,0.919,0.914	0.027
51	"Gprasp2"	NA	chrNC_000086.8	+	134740493	134740621	134740531	134740621	134739813	134740011	51	61,92,60	81,117,57	53,53,151	131,62,175	138	100	0.259240679555	0.7946213226072913	0.353,0.363,0.433	0.227,0.383,0.385	0.051
52	"Gprasp2"	NA	chrNC_000086.8	+	134740493	134740621	134740550	134740621	134739813	134740011	52	76,107,68	5,4,1	63,58,162	7,9,22	157	100	0.00011172532628	0.008521595340810909	0.906,0.945,0.977	0.851,0.804,0.824	0.116
53	"Gprasp2"	NA	chrNC_000086.8	+	134740531	134740621	134740550	134740621	134739813	134740011	53	96,132,65	5,4,1	141,67,186	7,9,22	119	100	0.000753303770736	0.028746562846657275	0.942,0.965,0.982	0.944,0.862,0.877	0.069
54	"Armcx2"	NA	chrNC_000086.8	-	133708010	133708145	133708010	133708076	133708369	133708474	54	15,18,15	9,8,7	13,17,12	0,4,9	169	100	0.158680708324	0.6391123859641774	0.497,0.571,0.559	1.0,0.715,0.441	-0.176
55	"Armcx2"	NA	chrNC_000086.8	-	133708983	133709248	133708983	133709191	133709667	133709970	55	529,482,439	16,25,17	451,440,616	18,27,33	157	100	0.177567402955	0.6665729354776063	0.955,0.925,0.943	0.941,0.912,0.922	0.016
56	"Armcx4"	NA	chrNC_000086.8	+	133589965	133597506	133590170	133597506	133589568	133589653	56	134,125,73	17,7,13	88,88,181	9,9,14	305	100	0.476336701662	1.0	0.721,0.854,0.648	0.762,0.762,0.809	-0.037
57	"Gla"	NA	chrNC_000086.8	-	133492813	133492975	133492813	133492875	133494382	133494474	57	160,205,163	0,1,0	138,186,158	0,0,1	200	100	1	1.0	1.0,0.99,1.0	1.0,1.0,0.988	0.001
58	"Drp2"	NA	chrNC_000086.8	+	133327800	133327926	133327805	133327926	133324524	133324702	58	7,3,1	6,12,8	3,1,3	8,7,6	105	100	0.674455469167	1.0	0.526,0.192,0.106	0.263,0.12,0.323	0.039
59	"Cstf2"	NA	chrNC_000086.8	+	132973884	132974026	132973962	132974026	132970593	132970656	59	340,350,314	35,34,39	380,365,371	43,32,25	178	100	0.265151796595	0.8018578218509008	0.845,0.853,0.819	0.832,0.865,0.893	-0.024
60	"Cstf2"	NA	chrNC_000086.8	+	132973884	132974026	132973962	132974026	132973163	132973223	60	195,188,152	6,8,4	189,209,271	3,10,53	178	100	0.00770259716241	0.12193356640116962	0.948,0.93,0.955	0.973,0.922,0.742	0.065
61	"Cstf2"	NA	chrNC_000086.8	+	132973884	132974026	132973962	132974026	132973426	132973513	61	195,194,149	22,24,13	195,208,272	18,27,105	178	100	0.071702481656	0.4121242375591547	0.833,0.82,0.866	0.859,0.812,0.593	0.085
65	"Cysltr1"	NA	chrNC_000086.8	-	105624454	105624544	105624454	105624525	105625749	105625836	65	1,2,1	1,0,1	2,1,0	3,1,0	119	100	1	1.0	0.457,1.0,0.457	0.359,0.457,NA	0.23
66	"Gm39529"	NA	chrNC_000086.8	-	102070247	102070384	102070247	102070340	102070652	102070871	66	8,0,4	0,7,2	9,2,11	11,2,27	144	100	0.372301669175	0.9274696991966128	1.0,0.0,0.581	0.362,0.41,0.221	0.196
67	"Dmrtc1a"	NA	chrNC_000086.8	-	101946826	101947452	101946826	101947369	101948355	101948485	67	28,30,15	2,0,1	29,16,26	0,0,2	183	100	0.878491967132	1.0	0.884,1.0,0.891	1.0,1.0,0.877	-0.034
80	"Las1l"	NA	chrNC_000086.8	-	94963650	94964398	94963650	94964395	94964751	94964798	80	2,11,1	1,3,0	0,3,7	0,2,6	103	100	1	1.0	0.66,0.781,1.0	NA,0.593,0.531	0.252
81	"Las1l"	NA	chrNC_000086.8	-	94980977	94981128	94980977	94981125	94983904	94984554	81	224,245,216	11,13,9	234,232,273	11,14,4	103	100	0.467692681451	1.0	0.952,0.948,0.959	0.954,0.941,0.985	-0.007
82	"Arhgef9"	NA	chrNC_000086.8	-	94121044	94121174	94121044	94121165	94125083	94125316	82	368,384,275	69,76,39	335,370,599	30,62,85	109	100	0.0468738217907	0.33400976207767474	0.83,0.823,0.866	0.911,0.846,0.866	-0.035
83	"Maged1"	NA	chrNC_000086.8	-	93581281	93581671	93581281	93581361	93581789	93581869	83	2907,2721,2775	0,0,0	2971,3035,3729	1,0,0	410	100	1	1.0	1.0,1.0,1.0	0.999,1.0,1.0	0.0
86	"Fam3a"	NA	chrNC_000086.8	-	73430237	73430397	73430237	73430322	73430639	73430690	86	42,52,46	129,129,146	58,57,45	126,153,128	175	100	0.420565273063	0.9699280119291673	0.157,0.187,0.153	0.208,0.176,0.167	-0.018
87	"Fam3a"	NA	chrNC_000086.8	-	73431233	73431412	73431233	73431357	73434079	73434103	87	13,2,2	206,159,219	0,4,11	161,214,150	155	100	0.888369877059	1.0	0.039,0.008,0.006	0.0,0.012,0.045	-0.001
89	"Flna"	NA	chrNC_000086.8	-	73283810	73283934	73283810	73283932	73284018	73284156	89	1488,996,1203	0,2,2	1389,1369,758	0,4,2	102	100	1	1.0	1.0,0.998,0.998	1.0,0.997,0.997	0.001
90	"Irak1"	NA	chrNC_000086.8	-	73057519	73059107	73057519	73057731	73060153	73060303	90	4205,3777,4320	7,1,1	4156,4327,3320	0,2,2	1476	100	1	1.0	0.976,0.996,0.997	1.0,0.993,0.991	-0.005
91	"Irak1"	NA	chrNC_000086.8	-	73066078	73066270	73066078	73066267	73066454	73066558	91	333,294,316	143,140,127	342,345,261	121,160,88	103	100	0.310592914255	0.867090829594829	0.693,0.671,0.707	0.733,0.677,0.742	-0.027
92	"Renbp"	NA	chrNC_000086.8	-	72965956	72966198	72965956	72966044	72969821	72969953	92	3,5,1	56,51,52	2,3,2	70,53,82	254	100	0.381866204683	0.9339469275981058	0.021,0.037,0.008	0.011,0.022,0.01	0.008
93	"Renbp"	NA	chrNC_000086.8	-	72973610	72973717	72973610	72973686	72974013	72974123	93	1,3,2	1,1,0	2,2,0	6,0,4	131	100	0.000634368225701	0.02564987669219947	0.433,0.696,1.0	0.203,1.0,0.0	0.309
94	"Gm32261"	NA	chrNC_000086.8	-	72716284	72716420	72716284	72716338	72716526	72716657	94	4,12,8	1,0,0	20,13,24	1,0,0	182	100	1	1.0	0.687,1.0,1.0	0.917,1.0,1.0	-0.077
95	"Gm32261"	NA	chrNC_000086.8	-	72716284	72716420	72716284	72716338	72717634	72717908	95	5,7,8	0,6,0	9,11,16	0,0,0	182	100	0.0114404271254	0.15407870802797166	1.0,0.391,1.0	1.0,1.0,1.0	-0.203
96	"Mtm1"	NA	chrNC_000086.8	+	70357251	70358897	70357254	70358897	70351305	70351482	96	101,126,95	3,1,8	147,100,77	1,13,3	103	100	0.300273462539	0.8545337427961051	0.97,0.992,0.92	0.993,0.882,0.961	0.015
97	"Ids"	NA	chrNC_000086.8	-	69403554	69403755	69403554	69403746	69404648	69404737	97	866,1107,818	93,126,100	995,972,1392	96,107,134	109	100	0.276076391967	0.8139200920420955	0.895,0.89,0.882	0.905,0.893,0.905	-0.012
98	"Ids"	NA	chrNC_000086.8	-	69416830	69417053	69416830	69417029	69418115	69418242	98	0,0,0	14,13,9	0,2,2	18,15,5	124	100	0.434080634547	0.9840037654496314	0.0,0.0,0.0	0.0,0.097,0.244	-0.114
99	"Atp11c"	NA	chrNC_000086.8	-	59274507	59275373	59274507	59274612	59281916	59282070	99	18,15,5	19,38,15	17,21,52	19,18,21	861	100	0.000168248201049	0.010948223557160127	0.099,0.044,0.037	0.094,0.119,0.223	-0.085
103	"Mospd1"	NA	chrNC_000086.8	-	52449263	52449343	52449263	52449338	52459298	52459428	103	0,1,0	1,1,0	0,1,0	0,2,0	105	100	1	1.0	0.0,0.488,NA	NA,0.323,NA	-0.079
104	"Stk26"	NA	chrNC_000086.8	+	49978692	49978846	49978709	49978846	49978565	49978628	104	0,0,0	3,10,2	0,0,1	1,2,12	117	100	1	1.0	0.0,0.0,0.0	0.0,0.0,0.066	-0.022
105	"Enox2"	NA	chrNC_000086.8	-	48107659	48107771	48107659	48107768	48111970	48112078	105	61,82,70	6,9,11	76,62,117	10,4,26	103	100	0.395697475295	0.946530855022133	0.908,0.898,0.861	0.881,0.938,0.814	0.011
106	"Enox2"	NA	chrNC_000086.8	-	48107659	48107771	48107659	48107768	48112003	48112078	106	13,12,8	2,4,0	15,1,13	4,2,1	103	100	0.544617503778	1.0	0.863,0.744,1.0	0.785,0.327,0.927	0.189
108	"Sash3"	NA	chrNC_000086.8	+	47248939	47250442	47248942	47250442	47248280	47248431	108	1,2,1	6,5,4	0,4,0	4,1,3	103	100	0.708336819863	1.0	0.139,0.28,0.195	0.0,0.795,0.0	-0.06
109	"Mcts1"	NA	chrNC_000086.8	+	37700631	37700710	37700642	37700710	37694815	37697208	109	19,22,16	0,0,0	11,27,15	0,0,1	111	100	1	1.0	1.0,1.0,1.0	1.0,1.0,0.931	0.023
112	"Ogt"	NA	chrNC_000086.8	+	100686581	100686762	100686611	100686762	100683823	100683928	112	393,285,333	255,264,214	433,401,339	249,272,339	130	100	0.974610905152	1.0	0.542,0.454,0.545	0.572,0.531,0.435	0.001
119	"Zfp182"	NA	chrNC_000086.8	-	20902575	20902752	20902575	20902710	20902866	20903011	119	4,0,3	32,25,20	7,0,0	45,39,37	142	100	0.551376594526	1.0	0.081,0.0,0.096	0.099,0.0,0.0	0.026
120	"Zfp182"	NA	chrNC_000086.8	-	20926741	20926791	20926741	20926767	20928132	20928277	120	10,7,11	0,0,0	13,14,7	0,1,1	124	100	1	1.0	1.0,1.0,1.0	1.0,0.919,0.85	0.077
121	"Zfp182"	NA	chrNC_000086.8	-	20926741	20926796	20926741	20926767	20928132	20928277	121	13,8,12	0,0,0	15,15,7	0,1,1	129	100	1	1.0	1.0,1.0,1.0	1.0,0.921,0.844	0.078
123	"Zfp182"	NA	chrNC_000086.8	-	20926741	20926796	20926741	20926767	20928181	20928320	123	26,31,25	2,7,6	30,37,29	0,0,6	129	100	0.0166967536441	0.18938622346141892	0.91,0.774,0.764	1.0,1.0,0.789	-0.114
124	"Uxt"	NA	chrNC_000086.8	-	20825596	20825704	20825596	20825699	20825973	20826041	124	199,171,176	0,0,1	174,197,126	1,1,0	105	100	1	1.0	1.0,1.0,0.994	0.994,0.995,1.0	0.002
125	"Syn1"	NA	chrNC_000086.8	-	20726749	20727848	20726749	20727810	20728737	20729329	125	218,246,115	179,258,88	128,196,912	108,144,602	138	100	0.0705816525176	0.40815649237708446	0.469,0.409,0.486	0.462,0.497,0.523	-0.039
131	"Gm34836"	NA	chrNC_000086.8	+	13445725	13445859	13445747	13445859	13443476	13443594	131	2,1,1	2,0,2	5,3,0	0,2,0	122	100	1	1.0	0.45,1.0,0.291	1.0,0.551,NA	-0.195
134	"Mid1ip1"	NA	chrNC_000086.8	+	10584222	10585941	10584225	10585941	10583603	10583943	134	953,1113,1313	2446,2972,3363	825,902,616	3275,2420,1778	103	100	0.0314811412765	0.2645524224542746	0.274,0.267,0.275	0.197,0.266,0.252	0.034
135	"Porcn"	NA	chrNC_000086.8	-	8064213	8065143	8064213	8064324	8065305	8065391	135	188,179,84	230,233,157	95,179,511	218,198,413	919	100	0.113774428199	0.5372799920767035	0.082,0.077,0.055	0.045,0.09,0.119	-0.013
136	"Porcn"	NA	chrNC_000086.8	-	8070434	8070627	8070434	8070556	8071803	8071972	136	352,471,340	6,12,3	372,364,696	7,11,11	171	100	0.604717557299	1.0	0.972,0.958,0.985	0.969,0.951,0.974	0.007
137	"Rbm3"	NA	chrNC_000086.8	-	8009485	8009571	8009485	8009568	8009896	8009990	137	551,505,477	966,864,735	398,543,477	660,910,735	103	100	0.783811356386	1.0	0.356,0.362,0.387	0.369,0.367,0.387	-0.006
139	"Wdr13"	NA	chrNC_000086.8	-	7996494	7996737	7996494	7996604	7997623	7997864	139	17,5,19	476,544,485	16,15,3	533,517,700	233	100	0.763247703556	1.0	0.015,0.004,0.017	0.013,0.012,0.002	0.003
140	"Wdr13"	NA	chrNC_000086.8	-	7997623	7998116	7997623	7997864	7998525	7998605	140	816,916,1015	282,353,220	995,946,629	317,279,580	352	100	0.137842678192	0.5918124025744375	0.451,0.424,0.567	0.471,0.491,0.236	0.081
141	"Wdr13"	NA	chrNC_000086.8	-	7997623	7997864	7997623	7997830	7998525	7999097	141	476,631,420	40,29,18	546,467,917	26,10,50	134	100	0.139507497473	0.5959979006211014	0.899,0.942,0.946	0.94,0.972,0.932	-0.019
142	"Wdr13"	NA	chrNC_000086.8	-	7997623	7998116	7997623	7997830	7998525	7999097	142	1010,1194,1215	40,29,18	1224,1134,966	26,10,50	386	100	0.923821454504	1.0	0.867,0.914,0.946	0.924,0.967,0.833	0.001
143	"Hdac6"	NA	chrNC_000086.8	-	7813141	7813270	7813141	7813267	7813363	7813483	143	252,214,160	9,4,7	173,153,241	5,8,8	103	100	0.662334065155	1.0	0.965,0.981,0.957	0.971,0.949,0.967	0.005
144	"Hdac6"	NA	chrNC_000086.8	-	7813363	7813483	7813363	7813481	7813813	7814036	144	38,30,19	3,4,3	45,21,28	1,3,1	102	100	0.0794409727265	0.43468027902739237	0.925,0.88,0.861	0.978,0.873,0.965	-0.05
145	"Otud5"	NA	chrNC_000086.8	+	7722542	7722636	7722545	7722636	7705851	7708949	145	354,365,357	26,28,39	382,350,418	23,21,35	103	100	0.191773688778	0.6942745410344855	0.93,0.927,0.899	0.942,0.942,0.921	-0.016
146	"Otud5"	NA	chrNC_000086.8	+	7740468	7742861	7740471	7742861	7739792	7739994	146	2,2,0	6,8,0	1,2,0	3,4,7	103	100	1	1.0	0.244,0.195,NA	0.244,0.327,0.0	0.029
147	"Otud5"	NA	chrNC_000086.8	+	7740468	7742861	7740471	7742861	7740078	7740192	147	80,68,49	207,202,186	79,56,62	224,199,208	103	100	0.692596792753	1.0	0.273,0.246,0.204	0.255,0.215,0.224	0.01
148	"Gripap1"	NA	chrNC_000086.8	+	7658466	7658576	7658514	7658576	7658308	7658375	148	8,11,8	260,244,218	5,12,18	187,238,351	148	100	0.486616412448	1.0	0.02,0.03,0.024	0.018,0.033,0.033	-0.003
149	"Gripap1"	NA	chrNC_000086.8	+	7685405	7686802	7686240	7686802	7684534	7684628	149	471,462,376	3,12,1	278,438,628	5,5,4	935	100	0.884288249457	1.0	0.944,0.805,0.976	0.856,0.904,0.944	0.007
150	"Prickle3"	NA	chrNC_000086.8	+	7529409	7529817	7529703	7529817	7525774	7525958	150	2,0,10	6,6,5	14,9,4	7,12,2	394	100	0.0917788347229	0.47459132408328564	0.078,0.0,0.337	0.337,0.16,0.337	-0.14
151	"Ppp1r3f"	NA	chrNC_000086.8	-	7424814	7427125	7424814	7427122	7430100	7430180	151	2,2,4	94,65,84	7,2,9	71,67,121	103	100	0.0436172208777	0.3191411190382875	0.02,0.029,0.044	0.087,0.028,0.067	-0.03
152	"Ppp1r3f"	NA	chrNC_000086.8	-	7424814	7427125	7424814	7427122	7430474	7430527	152	0,0,0	2,0,2	0,3,0	0,0,0	103	100	1	1.0	0.0,NA,0.0	NA,1.0,NA	-1.0
153	"Shroom4"	NA	chrNC_000086.8	+	6543501	6544546	6544276	6544546	6541154	6541335	153	5,2,12	15,2,4	15,11,6	12,4,6	875	100	0.252923010997	0.7869063271686637	0.037,0.103,0.255	0.125,0.239,0.103	-0.024
154	"Csf2ra"	NA	chrNC_000085.7	-	61213960	61214259	61213960	61214090	61214365	61214493	154	130,110,70	2,4,6	71,100,121	7,4,8	269	100	0.157196790166	0.6358607004384443	0.96,0.911,0.813	0.79,0.903,0.849	0.047
155	"Csf2ra"	NA	chrNC_000085.7	-	61213960	61214493	61213960	61214090	61214638	61214822	155	338,285,270	2,5,1	207,369,343	2,7,0	503	100	0.910753630213	1.0	0.971,0.919,0.982	0.954,0.913,1.0	0.002
156	"Sfxn4"	NA	chrNC_000085.7	-	60839396	60839894	60839396	60839512	60840449	60840528	156	72,63,79	59,50,31	108,104,105	43,28,34	482	100	0.00124196018583	0.039444968930398866	0.202,0.207,0.346	0.343,0.435,0.391	-0.138
157	"Dock11"	NA	chrNC_000086.8	+	35273595	35273634	35273631	35273634	35272991	35273103	157	32,55,32	4,7,2	33,48,46	0,5,4	136	100	0.301750431878	0.8566701758814841	0.855,0.852,0.922	1.0,0.876,0.894	-0.047
160	"Trub1"	NA	chrNC_000085.7	+	57473783	57475753	57475605	57475753	57473504	57473644	160	354,316,268	2,0,0	416,291,384	0,0,2	1922	100	1	1.0	0.902,1.0,1.0	1.0,1.0,0.909	-0.002
161	"Trub1"	NA	chrNC_000085.7	+	57473783	57475753	57475696	57475753	57473504	57473644	161	376,332,284	48,49,40	434,306,406	45,46,66	2013	100	0.953923671039	1.0	0.28,0.252,0.261	0.324,0.248,0.234	-0.004
162	"Trub1"	NA	chrNC_000085.7	+	57475605	57475753	57475696	57475753	57473504	57473644	162	24,16,16	48,49,40	18,15,24	45,46,66	191	100	0.626437305011	1.0	0.207,0.146,0.173	0.173,0.146,0.16	0.016
163	"Ablim1"	NA	chrNC_000085.7	-	57035356	57035503	57035356	57035497	57037893	57037941	163	172,200,161	310,337,363	201,153,99	441,293,166	106	100	0.793809971831	1.0	0.344,0.359,0.295	0.301,0.33,0.36	0.002
164	"Dclre1a"	NA	chrNC_000085.7	-	56526728	56526899	56526728	56526874	56528613	56528723	164	2,4,1	55,67,96	1,1,1	83,44,60	125	100	0.575027380904	1.0	0.028,0.046,0.008	0.01,0.018,0.013	0.014
165	"Dclre1a"	NA	chrNC_000085.7	-	56528613	56528754	56528613	56528723	56529936	56530055	165	94,96,118	6,2,7	110,72,64	6,6,6	131	100	0.260395924433	0.7971012974130266	0.923,0.973,0.928	0.933,0.902,0.891	0.033
166	"Dclre1a"	NA	chrNC_000085.7	-	56532446	56534078	56532446	56533339	56535068	56536135	166	343,436,330	7,13,2	494,423,306	1,5,1	839	100	0.00108073713919	0.03629174882945561	0.854,0.8,0.952	0.983,0.91,0.973	-0.087
168	"Tcf7l2"	NA	chrNC_000085.7	+	55905770	55905911	55905785	55905911	55900990	55901077	168	20,4,13	91,81,87	12,16,6	113,106,47	115	100	0.758910723884	1.0	0.16,0.041,0.115	0.085,0.116,0.1	0.005
169	"Gm31734"	NA	chrNC_000085.7	-	55730640	55731091	55730640	55731024	55731593	55731635	169	27,21,56	7,2,4	22,8,25	4,4,2	167	100	0.536335615629	1.0	0.698,0.863,0.893	0.767,0.545,0.882	0.087
