ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
142	"Top6bl"	NA	chrNC_000085.7	-	4675761	4676218	4675761	4675911	4675991	4676218	142	9,19,7	0,0,0	6,5,5	0,1,3	180	100	0.0494808130896	0.27286837373335354	1.0,1.0,1.0	1.0,0.735,0.481	0.261
143	"Rps6kb2"	NA	chrNC_000085.7	-	4208064	4208716	4208064	4208127	4208608	4208716	143	138,87,131	99,117,70	145,182,164	80,106,138	581	100	0.186821495986	0.5868392873913176	0.193,0.113,0.244	0.238,0.228,0.17	-0.029
144	"Rps6kb2"	NA	chrNC_000085.7	-	4208064	4208716	4208064	4208362	4208608	4208716	144	68,30,52	4,6,11	74,103,74	7,2,14	346	100	0.28546620343	0.7358276072322767	0.831,0.591,0.577	0.753,0.937,0.604	-0.098
145	"Rps6kb2"	NA	chrNC_000085.7	-	4208064	4208716	4208064	4208365	4208608	4208716	145	66,30,52	1,2,4	74,103,74	1,4,8	343	100	0.661050351162	1.0	0.951,0.814,0.791	0.956,0.882,0.729	-0.004
146	"Rps6kb2"	NA	chrNC_000085.7	-	4208608	4208918	4208608	4208716	4208801	4208918	146	69,71,65	6,5,8	61,62,152	7,3,6	185	100	0.21169288149	0.6331565870671421	0.861,0.885,0.815	0.825,0.918,0.932	-0.038
147	"Rps6kb2"	NA	chrNC_000085.7	-	4208608	4208918	4208608	4208716	4208827	4208918	147	97,83,80	48,57,41	81,72,195	58,36,48	211	100	0.337013110674	0.8047236281900103	0.489,0.408,0.48	0.398,0.487,0.658	-0.055
148	"Rps6kb2"	NA	chrNC_000085.7	-	4208608	4208918	4208608	4208716	4208849	4208918	148	112,108,93	13,10,15	101,84,215	3,6,12	233	100	0.00269953650815	0.04510327092110625	0.787,0.823,0.727	0.935,0.857,0.885	-0.113
149	"Pitpnm1"	NA	chrNC_000085.7	+	4156711	4157975	4156711	4156962	4157785	4157975	149	389,424,234	225,302,279	460,513,773	358,219,551	923	100	0.0390207737331	0.235891620831797	0.158,0.132,0.083	0.122,0.202,0.132	-0.028
150	"Kmt5b"	NA	chrNC_000085.7	+	3864114	3868303	3864114	3865421	3865483	3868303	150	115,138,167	9,5,2	139,98,133	1,4,2	162	100	0.0658927936448	0.3238044644753668	0.887,0.945,0.981	0.988,0.938,0.976	-0.03
154	"Gm31792"	NA	chrNC_000084.7	-	84001578	84009503	84001578	84006743	84008937	84009503	154	3,6,0	0,2,0	2,6,8	0,0,0	2294	100	1	1.0	1.0,0.116,NA	1.0,1.0,1.0	-0.442
156	"Haus1"	NA	chrNC_000084.7	-	77859529	77860093	77859529	77859957	77860047	77860093	156	0,2,1	1,1,0	5,2,10	5,1,2	190	100	0.0726208302629	0.3424286051659295	0.0,0.513,1.0	0.345,0.513,0.725	-0.023
157	"Elac1"	NA	chrNC_000084.7	-	73868108	73874745	73868108	73872371	73874628	73874745	157	132,60,126	1,2,4	179,99,132	4,4,7	2357	100	0.257791711528	0.6929233588386846	0.848,0.56,0.572	0.655,0.512,0.444	0.123
158	"Elac1"	NA	chrNC_000084.7	-	73874628	73875872	73874628	73874745	73875407	73875872	158	35,43,52	0,3,1	69,60,81	0,0,4	762	100	0.0793842625383	0.35473804347658744	1.0,0.653,0.872	1.0,1.0,0.727	-0.067
159	"Tcf4"	NA	chrNC_000084.7	+	69816147	69820996	69816147	69816422	69819867	69820996	159	39994,32092,30620	66,51,42	28679,33553,31652	69,77,74	3545	100	0.00148649747089	0.03088331843823462	0.945,0.947,0.954	0.921,0.925,0.923	0.026
160	"Gm30641"	NA	chrNC_000084.7	+	68715698	68719409	68715698	68715941	68719175	68719409	160	0,0,3	1,0,0	2,0,8	0,0,0	3334	100	1	1.0	0.0,NA,1.0	1.0,NA,1.0	-0.5
161	"Ptpn2"	NA	chrNC_000084.7	-	67798570	67805838	67798570	67798944	67805736	67805838	161	995,832,744	212,301,240	1007,899,1360	259,249,226	6892	100	0.0123773118342	0.11561780500518018	0.064,0.039,0.043	0.053,0.05,0.08	-0.012
165	"Grpel2"	NA	chrNC_000084.7	-	61845494	61849198	61845494	61846398	61847466	61849198	165	480,433,362	3,1,0	374,409,485	2,2,1	1168	100	0.592307191925	1.0	0.932,0.974,1.0	0.941,0.946,0.976	0.014
166	"Hmgxb3"	NA	chrNC_000084.7	-	61290414	61290833	61290414	61290590	61290686	61290833	166	140,190,166	28,23,34	166,149,158	53,37,64	196	100	0.000696030296401	0.017708002042425144	0.718,0.808,0.714	0.615,0.673,0.557	0.132
167	"Gm15345"	NA	chrNC_000084.7	+	56929987	56933413	56929987	56930019	56933228	56933413	167	27,26,11	6,2,3	25,18,18	4,2,1	3309	100	0.505445605639	0.9691488452826786	0.12,0.282,0.1	0.159,0.214,0.352	-0.074
169	"C030004G16Rik"	NA	chrNC_000084.7	-	42750271	42751366	42750271	42750477	42750842	42751366	169	6,5,1	0,0,0	2,2,7	2,0,1	465	100	0.0618766746661	0.31220923721288885	1.0,1.0,1.0	0.177,1.0,0.601	0.407
