ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
69	"Zfx"	NA	chrNC_000086.8	-	93165527	93165931	93165758	93165931	93157801	93157869	69	10,7,5	0,2,0	7,16,7	1,0,1	331	100	0.796808004253	1.0	1.0,0.514,1.0	0.679,1.0,0.679	0.052
70	"Prrg1"	NA	chrNC_000086.8	-	77605165	77605250	77605181	77605250	77564376	77564427	70	0,0,1	1,0,0	2,1,0	1,0,0	116	100	1	1.0	0.0,NA,1.0	0.633,1.0,NA	-0.317
71	"Prrg1"	NA	chrNC_000086.8	-	77627183	77627521	77627309	77627521	77564376	77564427	71	1,4,4	3,8,1	0,2,2	3,0,1	226	100	0.605955441874	1.0	0.129,0.181,0.639	0.0,1.0,0.469	-0.173
72	"Prrg1"	NA	chrNC_000086.8	-	77627183	77627521	77627374	77627521	77564376	77564427	72	1,4,6	7,6,8	2,3,2	9,9,8	291	100	0.254123580165	0.7601730233687221	0.047,0.186,0.205	0.071,0.103,0.079	0.062
73	"Prrg1"	NA	chrNC_000086.8	-	77627309	77627521	77627374	77627521	77564376	77564427	73	3,8,3	7,6,8	5,1,1	9,9,8	165	100	0.0704164929985	0.3863690296462199	0.206,0.447,0.185	0.252,0.063,0.07	0.151
74	"Prrg1"	NA	chrNC_000086.8	-	77627309	77627521	77627374	77627521	77605165	77605250	74	0,0,2	0,0,2	3,1,0	0,0,0	165	100	1	1.0	NA,NA,0.377	1.0,1.0,NA	-0.623
75	"Prrg1"	NA	chrNC_000086.8	-	77627183	77627521	77627309	77627521	77605181	77605250	75	2,2,5	0,0,0	0,2,2	1,0,0	226	100	1	1.0	1.0,1.0,1.0	0.0,1.0,1.0	0.333
76	"F8"	NA	chrNC_000086.8	-	74253969	74254146	74253975	74254146	74213949	74216616	76	15,9,19	1,6,3	10,8,0	7,11,7	106	100	0.00101527142567	0.030840708814555362	0.934,0.586,0.857	0.574,0.407,0.0	0.465
77	"Dnase1l1"	NA	chrNC_000086.8	-	73317383	73317632	73317548	73317632	73316823	73317297	77	164,172,170	2,3,1	216,185,150	2,0,3	265	100	0.614755417491	1.0	0.969,0.956,0.985	0.976,1.0,0.95	-0.005
78	"Renbp"	NA	chrNC_000086.8	-	72973792	72973868	72973834	72973868	72973610	72973686	78	64,74,68	7,11,10	69,74,78	7,7,5	142	100	0.131499259981	0.5404361743532863	0.866,0.826,0.827	0.874,0.882,0.917	-0.051
82	"Cd99l2"	NA	chrNC_000086.8	-	70484491	70484751	70484679	70484751	70484130	70484217	82	9,8,7	433,445,401	16,11,16	482,421,505	288	100	1	1.0	0.007,0.006,0.006	0.011,0.009,0.011	-0.004
83	"Mtm1"	NA	chrNC_000086.8	+	70258636	70258753	70258636	70258688	70274996	70275067	83	3,7,3	23,26,18	0,1,6	18,20,13	165	100	0.334794276729	0.8744284162292635	0.073,0.14,0.092	0.0,0.029,0.219	0.019
84	"Ids"	NA	chrNC_000086.8	-	69428728	69428902	69428807	69428902	69418623	69418700	84	1,0,0	1,2,0	0,0,1	2,0,10	179	100	1	1.0	0.358,0.0,NA	0.0,NA,0.053	0.152
85	"Ids"	NA	chrNC_000086.8	-	69428728	69428902	69428847	69428902	69418623	69418700	85	1,1,3	1,0,0	1,2,3	1,4,2	219	100	7.4752542131e-05	0.0063315598608604225	0.313,1.0,1.0	0.313,0.186,0.407	0.469
86	"Ids"	NA	chrNC_000086.8	-	69428807	69428902	69428847	69428902	69418623	69418700	86	1,3,3	1,0,0	3,2,12	1,4,2	140	100	0.000610594035538	0.023375435588815486	0.417,1.0,1.0	0.682,0.263,0.811	0.22
87	"Vma21"	NA	chrNC_000086.8	+	70860363	70860673	70860363	70860546	70863673	70863783	87	5,3,6	528,493,452	9,6,11	505,484,552	227	100	1	1.0	0.004,0.003,0.006	0.008,0.005,0.009	-0.003
88	"Atp11c"	NA	chrNC_000086.8	-	59274507	59275373	59275282	59275373	59268642	59271153	88	52,58,33	2,2,3	42,49,72	3,3,29	875	100	0.0397681835354	0.28795300373149113	0.748,0.768,0.557	0.615,0.651,0.221	0.195
89	"Ints6l"	NA	chrNC_000086.8	+	55538398	55539603	55538398	55538493	55541875	55542094	89	393,348,297	7,4,6	459,352,605	9,13,6	1210	100	0.504453490242	1.0	0.823,0.878,0.804	0.808,0.691,0.893	0.038
90	"Ints6l"	NA	chrNC_000086.8	+	55550084	55550459	55550084	55550276	55551732	55551826	90	201,241,224	5,1,0	346,233,409	0,2,0	283	100	0.670249522541	1.0	0.934,0.988,1.0	1.0,0.976,1.0	-0.018
91	"Mospd1"	NA	chrNC_000086.8	-	52444529	52444750	52444532	52444750	52436580	52436742	91	5,1,0	109,93,122	0,5,0	122,124,91	103	100	0.641475158095	1.0	0.043,0.01,0.0	0.0,0.038,0.0	0.005
92	"Mospd1"	NA	chrNC_000086.8	-	52444529	52444750	52444532	52444750	52440547	52440670	92	1,0,0	5,14,10	0,0,0	10,14,6	103	100	1	1.0	0.163,0.0,0.0	0.0,0.0,0.0	0.054
93	"Mir503hg"	NA	chrNC_000086.8	-	52144732	52145041	52145018	52145041	52141988	52144367	93	28,14,17	0,0,3	37,13,10	0,0,0	386	100	0.462761392349	0.9991737093623527	1.0,1.0,0.595	1.0,1.0,1.0	-0.135
95	"Enox2"	NA	chrNC_000086.8	-	48111970	48112078	48112003	48112078	48107659	48107768	95	19,24,25	2,4,0	21,16,49	4,2,1	133	100	0.976121292248	1.0	0.877,0.819,1.0	0.798,0.857,0.974	0.022
96	"Enox2"	NA	chrNC_000086.8	-	48111970	48112078	48112003	48112078	48107659	48107771	96	74,97,84	13,12,8	87,74,140	15,1,13	133	100	0.281403647261	0.8019334393732915	0.811,0.859,0.888	0.813,0.982,0.89	-0.042
97	"Enox2"	NA	chrNC_000086.8	-	48257508	48257661	48257517	48257661	48169493	48169628	97	0,3,2	35,50,40	0,5,1	48,34,38	109	100	1	1.0	0.0,0.052,0.044	0.0,0.119,0.024	-0.016
98	"Enox2"	NA	chrNC_000086.8	-	48375721	48375781	48375732	48375781	48169493	48169628	98	17,7,12	5,7,6	8,18,18	5,18,5	111	100	0.711094863264	1.0	0.754,0.474,0.643	0.59,0.474,0.764	0.014
99	"Enox2"	NA	chrNC_000086.8	-	48375721	48375781	48375732	48375781	48257517	48257661	99	39,55,53	10,25,19	56,42,46	20,19,17	111	100	0.789528428029	1.0	0.778,0.665,0.715	0.716,0.666,0.709	0.022
100	"Enox2"	NA	chrNC_000086.8	-	48376977	48377119	48377033	48377119	48375721	48375781	100	94,102,83	1,0,0	126,106,86	0,1,0	156	100	1	1.0	0.984,1.0,1.0	1.0,0.985,1.0	-0.0
102	"Smarca1"	NA	chrNC_000086.8	-	46900003	46900145	46900034	46900145	46898246	46898997	102	15,3,7	6,18,6	6,3,12	7,15,18	131	100	0.406607085546	0.949845027923562	0.656,0.113,0.471	0.396,0.132,0.337	0.125
103	"Smarca1"	NA	chrNC_000086.8	-	46975973	46976075	46975988	46976075	46972913	46973080	103	18,14,11	18,21,18	4,15,16	18,14,59	115	100	0.121785498866	0.5197530268113775	0.465,0.367,0.347	0.162,0.482,0.191	0.115
105	"Gria3"	NA	chrNC_000086.8	+	40489350	40490532	40489350	40490129	40491677	40491836	105	1486,1146,1028	2,0,0	1159,1207,923	3,1,2	503	100	1	1.0	0.993,1.0,1.0	0.987,0.996,0.989	0.007
106	"Gria3"	NA	chrNC_000086.8	+	40761095	40761354	40761095	40761343	40765216	40767478	106	10,9,3	665,549,599	7,7,5	493,556,487	111	100	0.803214079916	1.0	0.013,0.015,0.004	0.013,0.011,0.009	-0.0
107	"Mcts1"	NA	chrNC_000086.8	+	37694815	37697208	37694815	37694949	37700642	37700710	107	755,611,669	412,376,349	444,771,563	428,430,420	2359	100	0.00568188011859	0.08920764590685125	0.072,0.064,0.075	0.042,0.071,0.054	0.015
111	"Zbtb33"	NA	chrNC_000086.8	+	37278669	37278959	37278669	37278785	37281091	37285923	111	163,213,174	43,59,33	198,146,174	39,30,28	274	100	0.120565539684	0.5162520350922656	0.58,0.569,0.658	0.649,0.64,0.694	-0.059
112	"Upf3b"	NA	chrNC_000086.8	-	36356661	36359475	36359174	36359475	36355330	36356314	112	287,318,322	140,168,191	580,332,419	132,143,160	2613	100	2.40373115262e-05	0.003294430349007949	0.073,0.068,0.061	0.144,0.082,0.091	-0.038
113	"Upf3b"	NA	chrNC_000086.8	-	36361312	36362757	36362718	36362757	36360510	36360671	113	157,125,86	10,11,7	182,121,161	2,7,1	1506	100	0.00280157623157	0.058435378257103716	0.51,0.43,0.449	0.858,0.534,0.914	-0.306
117	"Zfp182"	NA	chrNC_000086.8	-	20928164	20928320	20928181	20928320	20926741	20926796	117	0,2,0	14,23,13	3,1,3	15,22,22	117	100	0.0158168744766	0.17146966888817963	0.0,0.069,0.0	0.146,0.037,0.104	-0.073
118	"Zfp182"	NA	chrNC_000086.8	-	20928176	20928320	20928181	20928320	20926741	20926796	118	0,0,0	14,23,13	0,0,1	15,22,22	105	100	1	1.0	0.0,0.0,0.0	0.0,0.0,0.041	-0.014
119	"Uxt"	NA	chrNC_000086.8	-	20827873	20828025	20827918	20828025	20826176	20826258	119	16,14,11	164,156,170	8,10,10	131,180,128	145	100	0.272681417879	0.7907855439285839	0.063,0.058,0.043	0.04,0.037,0.051	0.012
123	"Uba1"	NA	chrNC_000086.8	+	20524659	20524967	20524659	20524765	20525438	20525535	123	12,10,9	0,0,1	32,10,9	0,0,0	302	100	1	1.0	1.0,1.0,0.749	1.0,1.0,1.0	-0.084
124	"Uba1"	NA	chrNC_000086.8	+	20524659	20524967	20524659	20524765	20534687	20534804	124	17,16,11	124,86,77	40,19,16	91,73,92	302	100	0.00326074393144	0.06309232942781345	0.043,0.058,0.045	0.127,0.079,0.054	-0.038
125	"Rgn"	NA	chrNC_000086.8	+	20414472	20414616	20414472	20414612	20416601	20416780	125	2,0,2	7,9,5	1,0,0	13,0,16	104	100	1	1.0	0.216,0.0,0.278	0.069,NA,0.0	0.13
130	"Porcn"	NA	chrNC_000086.8	-	8064444	8065391	8065305	8065391	8064213	8064324	130	198,220,82	230,233,157	125,187,661	218,198,413	961	100	0.0232119523307	0.21184713588098916	0.082,0.089,0.052	0.056,0.089,0.143	-0.022
131	"Porcn"	NA	chrNC_000086.8	-	8067896	8067911	8067901	8067911	8067414	8067515	131	3,5,0	0,2,0	0,9,16	2,1,14	105	100	1	1.0	1.0,0.704,NA	0.0,0.896,0.521	0.38
132	"Rbm3"	NA	chrNC_000086.8	-	8009485	8009571	8009489	8009571	8005213	8007447	132	6,4,1	7,2,3	3,7,7	1,3,2	104	100	0.0494411198763	0.3226758831976043	0.452,0.658,0.243	0.743,0.692,0.771	-0.284
133	"Rbm3"	NA	chrNC_000086.8	-	8009485	8009568	8009489	8009568	8008594	8009194	133	185,204,119	766,700,612	183,222,167	634,728,585	104	100	0.0727238982002	0.39311229046452406	0.188,0.219,0.158	0.217,0.227,0.215	-0.031
135	"Hdac6"	NA	chrNC_000086.8	-	7813813	7814036	7813888	7814036	7813363	7813483	135	67,61,52	148,129,146	77,54,89	116,104,127	175	100	0.0075969748838	0.10740815754768836	0.206,0.213,0.169	0.275,0.229,0.286	-0.067
136	"Hdac6"	NA	chrNC_000086.8	-	7813813	7814036	7813945	7814036	7813363	7813483	136	111,129,87	14,10,8	111,104,138	8,8,6	232	100	0.112182321727	0.4944987304727487	0.774,0.848,0.824	0.857,0.849,0.908	-0.056
137	"Hdac6"	NA	chrNC_000086.8	-	7813888	7814036	7813945	7814036	7813363	7813483	137	192,197,181	14,10,8	150,154,176	8,8,6	157	100	0.438975186458	0.9754187779837455	0.897,0.926,0.935	0.923,0.925,0.949	-0.013
138	"Gripap1"	NA	chrNC_000086.8	+	7665528	7665725	7665528	7665667	7666395	7666580	138	5,11,8	206,175,152	4,5,0	152,207,279	158	100	0.00307263903346	0.061776991982083064	0.015,0.038,0.032	0.016,0.015,0.0	0.018
139	"Gripap1"	NA	chrNC_000086.8	+	7684534	7685560	7684534	7684628	7686240	7686802	139	652,678,554	3,12,1	480,713,901	5,5,4	1032	100	0.644386005421	1.0	0.955,0.846,0.982	0.903,0.933,0.956	-0.003
140	"Clcn5"	NA	chrNC_000086.8	-	7184622	7184727	7184640	7184727	7182897	7183062	140	0,1,0	1,2,0	0,1,0	0,0,2	118	100	1	1.0	0.0,0.298,NA	NA,1.0,0.0	-0.351
141	"Csf2ra"	NA	chrNC_000085.7	-	61213761	61214090	61214021	61214090	61213570	61213652	141	411,348,288	1,1,0	296,350,425	0,0,3	360	100	1	1.0	0.991,0.99,1.0	1.0,1.0,0.975	0.002
142	"Csf2ra"	NA	chrNC_000085.7	-	61213960	61214090	61214021	61214090	61213761	61213858	142	201,167,136	17,9,5	169,173,199	8,8,12	161	100	0.569149345542	1.0	0.88,0.92,0.944	0.929,0.931,0.912	-0.009
143	"Csf2ra"	NA	chrNC_000085.7	-	61214229	61214493	61214365	61214493	61213960	61214090	143	265,202,164	2,4,6	140,230,191	7,4,8	236	100	0.100348733104	0.4634286145235242	0.983,0.955,0.921	0.894,0.961,0.91	0.031
144	"Csf2ra"	NA	chrNC_000085.7	-	61214638	61214822	61214652	61214822	61213960	61214090	144	12,11,4	0,1,2	7,13,2	0,0,6	114	100	0.379829811754	0.9229028002327391	1.0,0.906,0.637	1.0,1.0,0.226	0.106
145	"Csf2ra"	NA	chrNC_000085.7	-	61214638	61214822	61214652	61214822	61214229	61214493	145	46,38,43	106,86,67	52,65,45	36,88,71	114	100	0.0153054157641	0.16928839810846225	0.276,0.279,0.36	0.559,0.393,0.357	-0.131
146	"Csf2ra"	NA	chrNC_000085.7	-	61214962	61215364	61215243	61215364	61214652	61214822	146	232,192,206	0,0,2	175,190,305	0,0,0	381	100	1	1.0	1.0,1.0,0.964	1.0,1.0,1.0	-0.012
147	"Sfxn4"	NA	chrNC_000085.7	-	60838991	60839894	60839396	60839894	60832646	60832732	147	37,33,30	53,27,41	51,49,50	72,37,40	505	100	0.283516417422	0.8065835234699857	0.121,0.195,0.127	0.123,0.208,0.198	-0.029
148	"Sfxn4"	NA	chrNC_000085.7	-	60838991	60839894	60839793	60839894	60832646	60832732	148	110,86,104	0,1,0	153,142,152	0,0,0	902	100	1	1.0	1.0,0.905,1.0	1.0,1.0,1.0	-0.032
149	"Sfxn4"	NA	chrNC_000085.7	-	60839396	60839894	60839793	60839894	60832646	60832732	149	126,80,115	0,1,0	174,130,142	0,0,0	497	100	1	1.0	1.0,0.942,1.0	1.0,1.0,1.0	-0.019
150	"Sfxn4"	NA	chrNC_000085.7	-	60839617	60839894	60839793	60839894	60839396	60839512	150	35,31,65	2,0,2	70,63,60	4,2,1	276	100	0.358295963755	0.8988490006349252	0.864,1.0,0.922	0.864,0.919,0.956	0.016
151	"Sfxn4"	NA	chrNC_000085.7	-	60845370	60845565	60845479	60845565	60844264	60844290	151	1,1,10	1,2,1	7,5,6	2,0,1	209	100	0.0733544692144	0.39425948063546257	0.324,0.193,0.827	0.626,1.0,0.742	-0.341
152	"Jade3"	NA	chrNC_000086.8	+	20353536	20353661	20353536	20353614	20355940	20356131	152	0,2,0	13,8,4	0,0,0	7,16,5	147	100	1	1.0	0.0,0.145,0.0	0.0,0.0,0.0	0.048
154	"Tcf7l2"	NA	chrNC_000085.7	+	55899010	55899113	55899010	55899101	55900990	55901077	154	100,83,109	18,14,10	118,101,55	15,20,8	112	100	0.727832354925	1.0	0.832,0.841,0.907	0.875,0.818,0.86	0.009
